step,mode,loss,angle_error(rad),distance(m)
1,test,0,0.08877486735582352,0.0
2,test,0,0.08932224661111832,0.0
3,test,0,0.0884319543838501,0.0
4,test,0,0.07995744049549103,0.0
5,test,0,0.05431554839015007,0.0
6,test,0,0.012303061783313751,0.0
7,test,0,0.017956754192709923,0.0
8,test,0,0.023622263222932816,0.0
9,test,0,0.020212190225720406,0.0
10,test,0,0.01404406689107418,0.0
11,test,0,0.01123047061264515,0.0
12,test,0,0.1543625295162201,0.0
13,test,0,0.07079348713159561,0.0
14,test,0,0.048891011625528336,0.0
15,test,0,0.037354934960603714,0.0
16,test,0,0.0016341512091457844,0.0
17,test,0,0.0005769482813775539,0.0
18,test,0,0.008813625201582909,0.0
19,test,0,0.015423489734530449,0.0
20,test,0,0.012266868725419044,0.0
21,test,0,0.011217091232538223,0.0
22,test,0,0.011844916269183159,0.0
23,test,0,0.009345758706331253,0.0
24,test,0,0.007231348659843206,0.0
25,test,0,0.0030249659903347492,0.0
26,test,0,0.0015376671217381954,0.0
27,test,0,0.001982512418180704,0.0
28,test,0,6.112735718488693e-06,0.0
29,test,0,0.0005085733719170094,0.0
30,test,0,0.0019125421531498432,0.0
31,test,0,0.0014229039661586285,0.0
32,test,0,0.0010409415699541569,0.0
33,test,0,0.0013704909943044186,0.0
34,test,0,0.002551513258367777,0.0
35,test,0,0.0037961634807288647,0.0
36,test,0,0.0037090019322931767,0.0
37,test,0,0.005677346605807543,0.0
38,test,0,0.015299497172236443,0.0
39,test,0,0.015495413914322853,0.0
40,test,0,0.010717768222093582,0.0
41,test,0,0.0020993598736822605,0.0
42,test,0,0.039184194058179855,0.0
43,test,0,0.07393636554479599,0.0
44,test,0,0.06487443298101425,0.0
45,test,0,0.01168208010494709,0.0
46,test,0,0.016609178856015205,0.0
47,test,0,0.037505559623241425,0.0
48,test,0,0.022696632891893387,0.0
49,test,0,0.008315358310937881,0.0
50,test,0,0.005845414008945227,0.0
51,test,0,0.013126477599143982,0.0
52,test,0,0.00476613687351346,0.0
53,test,0,0.040508098900318146,0.0
54,test,0,0.05244957283139229,0.0
55,test,0,0.08722510933876038,0.0
56,test,0,0.027884703129529953,0.0
57,test,0,0.037495438009500504,0.0
58,test,0,0.031089317053556442,0.0
59,test,0,0.027167312800884247,0.0
60,test,0,0.011764531955122948,0.0
61,test,0,0.03764436021447182,0.0
62,test,0,0.034136105328798294,0.0
63,test,0,0.033913157880306244,0.0
64,test,0,0.04100267216563225,0.0
65,test,0,0.048312682658433914,0.0
66,test,0,0.032355304807424545,0.0
67,test,0,0.028854191303253174,0.0
68,test,0,0.010859396308660507,0.0
69,test,0,0.015730757266283035,0.0
70,test,0,0.004260576795786619,0.0
71,test,0,0.28573814034461975,0.0
72,test,0,0.06805980205535889,0.0
73,test,0,0.13137708604335785,0.0
74,test,0,0.07872549444437027,0.0
75,test,0,0.23107558488845825,0.0
76,test,0,0.206611767411232,0.0
77,test,0,0.2375068962574005,0.0
78,test,0,0.12127690017223358,0.0
79,test,0,0.2560509741306305,0.0
80,test,0,0.23673540353775024,0.0
81,test,0,0.20999902486801147,0.0
82,test,0,0.3842426538467407,0.0
83,test,0,0.35465097427368164,0.0
84,test,0,0.08208078145980835,0.0
85,test,0,0.0864553153514862,0.0
86,test,0,0.04358692839741707,0.0
87,test,0,0.010312387719750404,0.0
88,test,0,0.017293309792876244,0.0
89,test,0,0.0019311062060296535,0.0
90,test,0,0.009738586843013763,0.0
91,test,0,0.005633278284221888,0.0
92,test,0,0.0011436366476118565,0.0
93,test,0,0.0013769879005849361,0.0
94,test,0,0.006228142883628607,0.0
95,test,0,0.00855063833296299,0.0
96,test,0,0.009809793904423714,0.0
97,test,0,0.009549373760819435,0.0
98,test,0,0.0032696942798793316,0.0
99,test,0,0.0006520361639559269,0.0
100,test,0,0.0026566018350422382,0.0
101,test,0,0.004235333297401667,0.0
102,test,0,0.005478751379996538,0.0
103,test,0,0.012246591970324516,0.0
104,test,0,0.012966688722372055,0.0
105,test,0,0.0008816146291792393,0.0
106,test,0,0.0016316664405167103,0.0
107,test,0,0.018600095063447952,0.0
108,test,0,0.022325729951262474,0.0
109,test,0,0.014567973092198372,0.0
110,test,0,0.006771016400307417,0.0
111,test,0,0.012378288432955742,0.0
112,test,0,0.011291442438960075,0.0
113,test,0,0.02383061870932579,0.0
114,test,0,0.019366422668099403,0.0
115,test,0,0.007123754825443029,0.0
116,test,0,0.03593074902892113,0.0
117,test,0,0.032240286469459534,0.0
118,test,0,0.0006945193745195866,0.0
119,test,0,0.018252825364470482,0.0
120,test,0,0.0037964549846947193,0.0
121,test,0,0.0227860938757658,0.0
122,test,0,0.029253099113702774,0.0
123,test,0,0.04587595537304878,0.0
124,test,0,0.05612769350409508,0.0
125,test,0,0.011103842407464981,0.0
126,test,0,0.028766591101884842,0.0
127,test,0,0.013040125370025635,0.0
128,test,0,0.004218365531414747,0.0
129,test,0,0.034828875213861465,0.0
130,test,0,0.04165720194578171,0.0
131,test,0,0.026418177410960197,0.0
132,test,0,0.027989327907562256,0.0
133,test,0,0.040102969855070114,0.0
134,test,0,0.05218039080500603,0.0
135,test,0,0.0402049645781517,0.0
136,test,0,0.027009785175323486,0.0
137,test,0,0.009056970477104187,0.0
138,test,0,0.0163123719394207,0.0
139,test,0,0.0045489477925002575,0.0
140,test,0,0.007283736485987902,0.0
141,test,0,0.00040727434679865837,0.0
142,test,0,0.003235309850424528,0.0
143,test,0,0.0028884713537991047,0.0
144,test,0,0.0006386595778167248,0.0
145,test,0,0.00031925225630402565,0.0
146,test,0,0.00012005073949694633,0.0
147,test,0,9.536603465676308e-05,0.0
148,test,0,0.0014416310004889965,0.0
149,test,0,0.002153156790882349,0.0
150,test,0,0.0035067894496023655,0.0
151,test,0,0.0024207192473113537,0.0
152,test,0,0.004641302395612001,0.0
153,test,0,0.004256914835423231,0.0
154,test,0,0.003753162454813719,0.0
155,test,0,0.0036631408147513866,0.0
156,test,0,0.001875945832580328,0.0
157,test,0,0.0009124656207859516,0.0
158,test,0,0.00029329443350434303,0.0
159,test,0,0.0007555237971246243,0.0
160,test,0,0.00114028574898839,0.0
161,test,0,0.0020023793913424015,0.0
162,test,0,5.401996895670891e-05,0.0
163,test,0,0.0026730061508715153,0.0
164,test,0,0.0032610646449029446,0.0
165,test,0,0.004024227615445852,0.0
166,test,0,0.008699899539351463,0.0
167,test,0,0.011277277022600174,0.0
168,test,0,0.011206472292542458,0.0
169,test,0,0.009359287098050117,0.0
170,test,0,0.007446735631674528,0.0
171,test,0,0.013324342668056488,0.0
172,test,0,0.01846330612897873,0.0
173,test,0,0.02265411615371704,0.0
174,test,0,0.015378560870885849,0.0
175,test,0,0.005541540216654539,0.0
176,test,0,0.0008043474517762661,0.0
177,test,0,0.003107684664428234,0.0
178,test,0,0.004350448492914438,0.0
179,test,0,0.009332552552223206,0.0
180,test,0,0.019277900457382202,0.0
181,test,0,0.013659773394465446,0.0
182,test,0,0.0021347426809370518,0.0
183,test,0,0.016539204865694046,0.0
184,test,0,0.010781453922390938,0.0
185,test,0,0.004093819763511419,0.0
186,test,0,0.03797540441155434,0.0
187,test,0,0.07986895740032196,0.0
188,test,0,0.09855116903781891,0.0
189,test,0,0.04621581733226776,0.0
190,test,0,0.0085210669785738,0.0
191,test,0,0.027000341564416885,0.0
192,test,0,0.019097523763775826,0.0
193,test,0,0.01615307852625847,0.0
194,test,0,0.00904751569032669,0.0
195,test,0,0.016022590920329094,0.0
196,test,0,0.019699035212397575,0.0
197,test,0,0.01511395163834095,0.0
198,test,0,0.05571518465876579,0.0
199,test,0,0.08801072090864182,0.0
200,test,0,0.055641356855630875,0.0
201,test,0,0.03542054817080498,0.0
202,test,0,0.043533384799957275,0.0
203,test,0,0.030657459050416946,0.0
204,test,0,0.01583767868578434,0.0
205,test,0,0.04184103384613991,0.0
206,test,0,0.028287462890148163,0.0
207,test,0,0.03151896595954895,0.0
208,test,0,0.034474194049835205,0.0
209,test,0,0.045315224677324295,0.0
210,test,0,0.03381733596324921,0.0
211,test,0,0.034684110432863235,0.0
212,test,0,0.015561535954475403,0.0
213,test,0,0.011618122458457947,0.0
214,test,0,0.08987334370613098,0.0
215,test,0,0.1638716757297516,0.0
216,test,0,0.09833583235740662,0.0
217,test,0,0.1829976737499237,0.0
218,test,0,0.29618772864341736,0.0
219,test,0,0.3405672609806061,0.0
220,test,0,0.2683793008327484,0.0
221,test,0,0.036724839359521866,0.0
222,test,0,0.1321883499622345,0.0
223,test,0,0.022674378007650375,0.0
224,test,0,0.025297055020928383,0.0
225,test,0,0.002689457032829523,0.0
226,test,0,0.023775968700647354,0.0
227,test,0,0.01395869068801403,0.0
228,test,0,0.0032097608782351017,0.0
229,test,0,0.008054528385400772,0.0
230,test,0,0.014340031892061234,0.0
231,test,0,0.01351897232234478,0.0
232,test,0,0.012379182502627373,0.0
233,test,0,0.013200456276535988,0.0
234,test,0,0.015226492658257484,0.0
235,test,0,0.017806246876716614,0.0
236,test,0,0.01464308612048626,0.0
237,test,0,0.014675561338663101,0.0
238,test,0,0.01590980961918831,0.0
239,test,0,0.013657432049512863,0.0
240,test,0,0.013279331848025322,0.0
241,test,0,0.012697845697402954,0.0
242,test,0,0.011696325615048409,0.0
243,test,0,0.013183634728193283,0.0
244,test,0,0.01237424835562706,0.0
245,test,0,0.011751346290111542,0.0
246,test,0,0.010233737528324127,0.0
247,test,0,0.013080364093184471,0.0
248,test,0,0.01207830011844635,0.0
249,test,0,0.011473089456558228,0.0
250,test,0,0.01358378492295742,0.0
251,test,0,0.01573052629828453,0.0
252,test,0,0.017446402460336685,0.0
253,test,0,0.021283462643623352,0.0
254,test,0,0.007676087785512209,0.0
255,test,0,0.010110754519701004,0.0
256,test,0,0.0009252256713807583,0.0
257,test,0,0.0076964800246059895,0.0
258,test,0,0.01025637611746788,0.0
259,test,0,0.012634258717298508,0.0
260,test,0,0.005152419675141573,0.0
261,test,0,0.0025390819646418095,0.0
262,test,0,0.005348983686417341,0.0
263,test,0,0.015729084610939026,0.0
264,test,0,0.02642224170267582,0.0
265,test,0,0.015756376087665558,0.0
266,test,0,0.03517856448888779,0.0
267,test,0,0.029098790138959885,0.0
268,test,0,0.007628381717950106,0.0
269,test,0,0.006352692376822233,0.0
270,test,0,0.0046250843442976475,0.0
271,test,0,0.02201421931385994,0.0
272,test,0,0.02257484756410122,0.0
273,test,0,0.03292563930153847,0.0
274,test,0,0.0008212788961827755,0.0
275,test,0,0.00047257961705327034,0.0
276,test,0,0.015699703246355057,0.0
277,test,0,0.0007533621974289417,0.0
278,test,0,0.012052744626998901,0.0
279,test,0,0.003884508740156889,0.0
